x,z
[nnc] LoopNest::fuseLoops failed to fuse loops with reduce ops inside,"If I understand correctly, Mikhail's approach (only checking the indices that include 'i0') works for this special case, and also works for cases that can not be handled by extending the equivalent check. See the example below,\r\n\r\n```\r\n for (int i0 = 0; i0 < 64; i0++) { // L_C0\r\n for (int i1 = 0; i1 < 32; i1++) { // L_C1\r\n C[i0, i1] = float(0);\r\n for (int i0_1 = 0; i0_1 < 64; i0_1++) { // L_C01\r\n C[i0, i1] = ReduceOp((C[i0, i1]) + (A[i0, i0_1]) * (B[i0_1, i1]), reduce_args={i0});\r\n }\r\n }\r\n }\r\n for (int i0_2 = 0; i0_2 < 64; i0_2++) { // L_D0\r\n for (int i1_1 = 0; i1_1 < 64; i1_1++) { // L_D1\r\n D[i0_2, i1_1] = C[i0_2, i1_1];\r\n }\r\n }\r\n```\r\nI modified the stop value for ` L_C1`. With this modification, the stop value of `i1` in `C[i0, i1] ` is different with `i1_1` in `C[i0_2, i1_1]` and the equivalence check would fail but it is still valid to fuse the two loops."
test_dataloader.py fails to pass test with error: Can't get attribute 'RandomDataset'... on MacOS,"Created a conda env with Python=3.7, followed the same steps to install Pytorch and tried to reproduce the issue.\r\n\r\ntest_dataloader.py passes the test.\r\n\r\nSeems that it is an issue related to Python 3.8 on Mac"
[package] error in colab tutorial #60189,This error is intentional—you need to specify how you will handle your dependencies. Further along in the tutorial there is guidance on how to resolve the error.
User-defined preferred BLAS backend of choice not respected,"Yes, #59220 fixes my issue, thanks for the help!"
USE_SYSTEM_ONNX: onnx/optimizer/optimize.h: No such file or directory,"I got the same error, and I fixed it by updating the submodules:\r\n```\r\ngit submodule sync\r\ngit submodule update --init --recursive\r\n```"
Tuning `SumKernel` for Float16 on CPU with AVX512 vectorization,"Yes, `ilp_factor` stands for instruction level parallelism. It's the number of vector accumulators that get summed in paralllel. So it's a performance optimization. In theory, the optimal value would be the add latency (clocks) divided by the inverse throughput of load + add (clocks per element). Which is roughly 4, but depends on the data type and exact CPU. I usually refer to the [intel intrinsics guide](https://software.intel.com/sites/landingpage/IntrinsicsGuide/#!=undefined&text=_add_ps&techs=AVX,AVX_512&expand=139,124,3333,3336,139,136,139,136).\r\n\r\nThe summation in #59489 is so small that I can't see `ilp_factor` having any impact. More likely, the issue is that the final sum of the vector accumulator isn't done pairwise which for float16 on avx512 would be summing 32 elements. \r\n\r\n"
How do I avoid nan gradients for exponential parameters?,"[detect_anomaly](https://pytorch.org/docs/stable/autograd.html?highlight=detect_anomaly#torch.autograd.detect_anomaly) may help but anyway I think we need a minimal reproducible example to look into that. Also, questions are supposed to be posted to https://discuss.pytorch.org/ as it's more likely you will get help there."
Can I train AI If AI model is located in the another model’s forward?,You may want to add model2 to an attribute of model1 in \\_\\_init\\_\\_. Then the parameters of model1 include that of model2 and so model2 would be trained.\r\n\r\nfyi questions are supposed to be posted to https://discuss.pytorch.org/ as it's more likely you will get help there.
M1 Mac: `torch.dot()` returns unexpeted values for tensors of `torch.float32`,Will be fixed in next nightly build
Some Logic Error with New Group?,"> In order to keep up with my_rank in the world process group, here will convert the dst rank to the world one.\r\n\r\n`_get_group_rank` actually does the reverse, it converts the world rank to the local one and then the local rank is used in the gather call with the sub_pg.\r\n\r\nGiven that is the main concern here that we provide a sub_pg to gather but still need to provide the global rank as `dst`?"
Test profiler oncall alert,Works!
Libtorch JIT : Does enabling profiling mode increase CPU memory usage ? How to disable profiling mode properly ?,"@w1d2s could you please make a small repo? \r\n\r\n`torch::jit::getProfilingMode() = false;` should disable the profiling executor, so it's probably something else.\r\n\r\n1. Could you please profile memory allocations with https://pytorch.org/tutorials/recipes/recipes/profiler_recipe.html . Let's see if they come from aten ops or from somewhere else? \r\n2. @w1d2s is the memory usage **much lower** without using the JIT?\r\n\r\nThanks!\r\n\r\n@nikithamalgifb we could keep on the jit queue until we get more info.\r\n\r\n"
TestCommonCUDA.test_dtypes_matmul_cuda fails,"Read it as \""Skip this test when IS_WINDOWS is True,\"" or, equivalently, \""This skip is active if IS_WINDOWS is True, and it skips all tests instantiated from the TestCommon.test_dtypes template.\"""
it seems n_heads is not handled correctly in nn.MultiheadAttention,"As a simple workaround, couldn't you pass embed_dim * num_heads as the embed_dim? When it is divided amongst the heads, it should result in what you want."
"Nightly builds: CMake error \""Imported target \""torch\"" includes non-existent path\""","Ok, will do!"
`test_transpose_inplace_view_xla` & `test_t_inplace_view_xla` are flaky,@imaginary-person This test was failing consistently on master yesterday so I disabled them for XLA first. @bdhirsh and I will look into the root cause later today. Thanks for reporting!
Spurious failure reported by a GHA workflow,"This might actually be a false positive, we had noticed reports of artifacts carrying over from one build to another since our runners are atm not yet ephemeral (waiting on actions/runner#660)\r\n\r\nPerhaps a better cleanup step is in order so that we for sure have removed all of the previous build artifacts"
Does the NCCL operation use the default stream as other computations?,"The nccl implementation under the hood uses a custom stream pool and each time you launch collective operations, appropriate synchronizations are done automatically. So before the allreduce is launched, the nccl stream synchronizes with the default stream to capture computations appropriately. Also, after nccl allreduce is done, the default stream synchronizes with the nccl stream. As a result, you don't need to perform any synchronizations.\r\n\r\nIf you provide `async_op=True` to all_reduce, the synchronization will not be done after allreduce and only when you call `work.wait()`. So if you want to overlap computation that is not related to nccl allreduce, you can use the async_op option."
Add container for recurrent nets,"No, definitely not to `Module`. We can consider adding a base class for RNNs"
[docs] Docs missing not in-place Variable.scatter and some other methods,"Here is a working example for those looking for one\r\n\r\n```python\r\nimport numpy as np\r\nimport torch\r\nfrom torch.autograd import Variable\r\n\r\nsize = [2, 2]\r\nn = 5\r\n\r\n# show case scatter method on tensors\r\ninput = torch.FloatTensor(*size + [n]).zero_()\r\nmask = torch.LongTensor(np.ones(size, dtype=np.int)).unsqueeze(dim=2).expand_as(input)\r\nprint(mask)\r\ninput.scatter_(-1, mask, n)\r\nprint(input)\r\n\r\n# Now test scatter method on variables\r\ninput = Variable(torch.FloatTensor(*size + [n]).zero_())\r\nmask = Variable(torch.LongTensor(np.ones(size, dtype=np.int)).unsqueeze(dim=2).expand_as(input))\r\nprint(mask)\r\ninput.scatter_(-1, mask, 5 * Variable(torch.ones(input.size())))\r\nprint(input)\r\n\r\n```"
Support for einsum notation,"Yeah, Pytorch lacks this. I can implement the feature"
GPU usage extremely in-balance for segmentation task,"The code hasn't been released yet. You can leave the device_ids empty and use CUDA_VISIBLE_DEVICES=0,1 to control the number of GPUs"
How to select GPU programmatically in code,"```\r\nimport os\r\nos.environ[\""CUDA_DEVICE_ORDER\""]=\""PCI_BUS_ID\"" \r\nos.environ[\""CUDA_VISIBLE_DEVICES\""]=\""1\""\r\n```\r\n\r\nAre you looking for this?"
DataLoader raising inconsistent tensor sizes,"Ah, this comes down to `Scale` not scaling to a square but maintaining ratio, hence different sized input images will not fit when catting a tensor.."
Pooling throws an exception in Tegra TX1,"this is a weird error. Are you sure CuDNN is being detected at compile time?

You might have to set CUDNN_INCLUDE_DIR and CUDNN_LIB_DIR environment variables.
You can check cudnn's status with: print(torch.backends.cudnn.enabled)"
[Feature Request] Cyclical Learning Rates,"Hi. I am the puller of LR Scheduler. IMO, you should be able to easily implement this using class LambdaLR. @ajbrock

"
Get a single batch from DataLoader without iterating,`next(iter(data_loader))` ?
How to change the outputs of forward_hook?,This feature is now in master.
Different behavior of sum() in-place on CPU vs GPU,"passing the input as the output for a function that does resizes should be an error; these functions usually resize the outputs at the start of the call and it's likely they don't even do the calculations correctly since that also modifies the input.\r\n\r\nOr maybe we just check that output tensors aren't resized? (this is what numpy does). I believe @zdevito had a use case where he wanted to pass in a big buffer, or let it grow dynamically, and just wanted to use that for the output without worrying about the sizes himself. Do I have that right, Zach?"
Different behaviour of BCEWithLogitsLoss and BCELoss + Sigmoid,"Thanks for reporting this @martinarjovsky.

@soumith not sure this is a valid use of the losses - i.e. the output and target have different shapes (one is batched and one is not)?

Because of the different shapes the broadcasting has side effects (https://github.com/gchanan/pytorch/wiki/Broadcasting-Notes#backwards-compatibility)

According to the docstrings of binary_cross_entropy and binary_cross_entropy_with_logits the input and target should have the same shape. Shall we just add a check and raise a ValueError if they are not? Happy to send a PR for this"
[pylint] E1101:Module 'torch' has no 'squeeze' member,"On VS code:
Add ""python.linting.enabled"": false to the settings file. Worked for me."
[Feature Request] Layer Normalization,"I use this:\r\n\r\n```python\r\nclass LayerNorm(nn.Module):\r\n\r\n def __init__(self, features, eps=1e-6):\r\n super().__init__()\r\n self.gamma = nn.Parameter(torch.ones(features))\r\n self.beta = nn.Parameter(torch.zeros(features))\r\n self.eps = eps\r\n\r\n def forward(self, x):\r\n mean = x.mean(-1, keepdim=True)\r\n std = x.std(-1, keepdim=True)\r\n return self.gamma * (x - mean) / (std + self.eps) + self.beta\r\n```"
[feature request] Add YellowFin optimizer,draft PR seems fine.
Import fails after Conda install,"your `cudatoolkit` from anaconda is build 2, which had a bug. Anaconda team fixed this in build 3. Do this: `conda install cudatoolkit`, and that should install build 3."
ReduceOps are breaking Pyro test,"I found the bug, I'll send a patch soon."
Linux CPU build script fails as MKL header files not found,"If you are not using conda, pip install mkl-devel gets you the headers. I haven't looked at your CI script. @SsnL can we add this to the error message?

"
RuntimeError: value cannot be converted to type uint8_t without overflow: 10000,"yeah the tutorials needs to be updated. for now, you can try this:\r\n```\r\ncorrect += (predicted == labels).sum().item()\r\n```"
CUDNN_STATUS_NOT_INITIALIZED when built from source,After these updates:\r\n- Nvidia driver: 384.81-> 387.26 \r\n- CUDA: V9.0.176 -> V9.1.85\r\n- CuDNN: 7005 -> 7102\r\n\r\nThe installation completes without error. Thanks!
Core dump after torch.permute with negative index,"Ah okay, thank you for the tracebacks. The root cause should be the same: a std::vector is being indexed with negative numbers in the backward pass. Fix incoming."
I cannot initialize Tensor. (They will become torch.autograd.variable.Variable),See https://github.com/pytorch/pytorch/pull/5225
[feature request] Add underscore to nn.init functions,"That makes sense, but we need to keep backward compatibility, so we need the non-`_` aliases too."
How can I access the model's attribution created during forward pass when using dataparallel?,"Returning what you want from the top-level forward function should defiantly work. You could do this pretty easily with an additional wrapper. As such:\r\n\r\n```python\r\n\r\nclass NormalModel(nn.Module):\r\n pass\r\n\r\nclass ExtraOutputWrapper(nn.Module):\r\n def __init__(self, *args, **kw):\r\n self.wrapped = NormalModel(*args, **kw)\r\n\r\n def forward(self, input):\r\n normal_output = self.wrapped(input)\r\n extra_output = self.wrapped.layer_of_interest.property\r\n return normal_output, extra_output\r\n```\r\n\r\nThen wrap `ExtraOutputWrapper` with `DataParallel` and it will return the property of interest. This seems fairly clean to me. Is there an issue with this?"
Linking Error: relocation R_X86_64_32 against `cpuinfo_x86_linux_init' can not be used when making a shared object,The most recent version of cpuinfo should fix this. We have to update the submodule.
src/tcmalloc.cc:278] Attempt to free invalid pointer 0x7fc84f022d40,"I also came across this problem under the same condition except installing pytorch with anaconda.\r\nMy problem occurred when forwarding nn.LSTMCell with cuda(). The cpu mode can work fine.\r\n\r\nbefore this, I installed libtcmalloc-minimal4 to solve this problem #2314\r\n\r\nIs there any solution?"
fatal error: torch/torch.h: No such file or directory,"Right now you have to `build install` pytorch for that header to be installed correctly. There's three options:\r\n1. Merge https://github.com/pytorch/pytorch/pull/5772 which fixes this and looks ready anyway,\r\n2. `python setup.py build install`\r\n3. `python run_test.py --exclude cpp_extensions`\r\n\r\n(1) is probably best"
pytorch installation error on macOS 10.13.3,^ resolved by reinstalling tbb
Pretrained Model Loading Error,"If you were to load the file using pickle alone, I'd suggest trying to load it using `encoding='latin1'` for example.\r\n```python\r\nwith open(myfile, 'rb') as f:\r\n data = pickle.load(f, encoding='latin1')\r\n```\r\nThis has solved issues for me when deserializing some pickle files saved on python2 and loaded on python3. But to make it work out-of-the-box on `torch.load` might require extending the API."
Error loading gzipped weights,"Try this (it will only work on master):\r\n```\r\nimport torch, shutil, gzip\r\nimport torchvision.models as models\r\nimport io\r\nresnet18 = models.resnet18()\r\ntorch.save(resnet18.state_dict(), 'test.pt')\r\nwith open('test.pt', 'rb') as f_in, gzip.open('test.pt.gz', 'wb') as f_out:\r\n shutil.copyfileobj(f_in, f_out)\r\n #f_out.write(f_in.read())\r\n \r\nwith gzip.open('test.pt.gz', 'rb') as f:\r\n # Use an intermediate buffer\r\n x = io.BytesIO(f.read())\r\n state_dict = torch.load(x)\r\n```\r\n\r\nI think the underlying problem is that `torch.load()` is bypassing gzip and directly reading the compressed file without uncompressing it. A workaround is to unzip the file into a new file and then load that file. Not sure how feasible it is to fix `torch.load` to support this behavior."
torch.nn.functional.cosine_similarity got unexpected behavier with torch.int8 dtype,"Indeed, converting back to float before calling the function does return the right value.\r\nSo something is wrong with the type promotion here."
Bazel - Pybind - Pytorch - Undefined Symbol,Resolved. Turns out you need to add 'linkshared=True' and compile it as a binary
Inplace ReLU incompatible with backward hook,"What I meant is that if you have access to the Tensor, you can use a Tensor hook:\r\n```python\r\n# This one will be called during the backward\r\ndef tensor_hook(grad): print(grad.size())\r\n\r\n# Register this wherever you have access to the Tensor for which you want to print the gradients\r\nyour_tensor.register_hook(tensor_hook)\r\n```\r\n\r\nIf you want to still use your Sequential Module and don't have access to the Tensor directly, you can get it via a forward hook:\r\n```python\r\n# This one will be called during the backward\r\ndef tensor_hook(grad): print(grad.size())\r\n\r\n# This one will be called during the forward\r\ndef fw_hook(mod, input, output):\r\n output.register_hook(tensor_hook)\r\n\r\n# Register this at the same place where you used to register the backward hook\r\nmod[2].register_forward_hook(fw_hook)\r\n```"
"TypeError: __init__() should return None, not 'int' in validation Dataset","Closing, as this does not look like a bug in PyTorch, but rather a mis-use of  Python data model.\r\nFor example, following code raises the same runtime error:\r\n```\r\nclass Bar:\r\n    def __init__(self, bar):\r\n        self.bar = bar\r\n        return bar\r\n\r\nif __name__ == \""__main__\"":\r\n    x = Bar(5)\r\n```\r\n```\r\n% python3 bar.py\r\nTraceback (most recent call last):\r\n  File \""bar.py\"", line 7, in <module>\r\n    x = Bar(5)\r\nTypeError: __init__() should return None, not 'int'\r\n```\r\nPlease do not hesitate to comment/update an example, if you believe that PyTorch behavior is incorrect in this case."
torch.linalg.cholesky fails for some PSD matrices,"Thanks for your response. Makes total sense - the context of the problem is trying to add a small amount of (tikhonov) regularization to make cholesky stable so aware of the stability problem just my fix was mixing precisions as you say. With double precision numpy==pytorch. Feel free to close.

"
Scribe stats reporting is broken in GHA due to secrets access from fork PRs,Verified that scribe proxy is working now
Maybe an error occurred in torch.matmul and torch.mm when pytorch == 1.9.0,"This is a duplicate of #61291, fixed on master in #61394."
"[CUDA 9.1] error: argument of type \""const void *\"" is incompatible with parameter of type \""const float *\""","Unfortunately I don't think we have the necessary resources now to debug issues with CUDA 9.1\r\n\r\nI'm going to close this issue since it's for a version we don't currently support (1.5), and a CUDA toolkit that we also do not support anymore (9.1), but if anyone has any input they can give feel free to leave comments below."
HTTP Error 403 for torch.hub ResNet,"As a workaround, can you please adding the following line before making any \""torch.hub\"" calls:\r\n```\r\ntorch.hub._validate_not_a_forked_repo=lambda a,b,c: True\r\n```"
torch.permute missing in docs,"This has been fixed in master.\r\n\r\nThat being said, the docs are not well formatted, so I'll fix that."
DDP comm. hook:`torch.futures.Future.then()` callback returns singleton list,"Thanks for the proposal! Indeed the return type of a singleton list is not ideal for many cases as we only have SPMD mode.\r\n\r\nOne concern I have is that, a future can not only be returned by `allreduce`, but also by other communication primitives such as `allgather`, which naturally returns a list of output tensors. How are you going to handle this case by `then()` if it can only return a single tensor?"
"Conv2d triggers assertion in mkl-dnn when padding=(n, 3)","@sakaia , I verify that MKLDNN v0.21.1 can solve this problem, we have upgrade mkldnn to 0.21.1, you can test it your side by pip install --pre torch torchvision -f https://download.pytorch.org/whl/nightly/cpu/torch_nightly.html or build the pytorch source code according to README.md. Thanks!"
PyTorch is not using the GPU specified by CUDA_VISIBLE_DEVICES,More comment:\r\n\r\nUsing the following command instead\r\n`CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=3 python test.py`\r\nwould fix the problem.\r\n\r\nBut I am not sure if this is the expected behavior...
Freeze during validation with distributed training and model with batch normalization layers,"pytorch 1.1\r\nthe same problem here, the training freezes after 20 epochs. GPU usage is constantly 100%( in the normal situation, it would jump between 80% to 100%), the data loader also stops working."
Allow parallel sending to device in DataLoader,"No the push occurs inside the transform. It would be possible to design a custom collate_fn but that would be inefficient. The whole point of doing this is because pushing to GPU is so time consuming. Therefore, the best way is to send to GPU in a data transform."
distributed all_reduce deadlocks in v1.1,"Pytorch 1.1 uses nccl 2.4.2 which has a known issue of hanging with long running jobs that was fixed for 2.4.6. https://github.com/NVIDIA/nccl/commit/f40ce73e8987d2990e4b9ef6c75f4b3423acce78\r\nWorkaround is to export NCCL_LL_THRESHOLD=0. \r\ncc @pietern, @mrshenli to bump nccl submodule."
CUDA error: unknown error on Windows,"@colesbury ok!\r\n```\r\npip3 install https://download.pytorch.org/whl/nightly/cu100/torch_nightly-1.1.0.dev20190516-cp36-cp36m-win_amd64.whl\r\ngit clone https://github.com/kymatio/kymatio.git\r\ncd kymatio\r\npip3 install -e .\r\n```\r\nand execute the following file: https://github.com/Jonas1312/kymatio/blob/inverting-scatt-mse/examples/2d/invert_scattering.py\r\n\r\nyou should be able to comment most lines and imports except:\r\n```\r\n# Compute scattering coefficients\r\nscattering = Scattering2D(J=J, shape=(height, width), max_order=order)\r\nif device == \""cuda\"":\r\n scattering = scattering.cuda()\r\n```\r\n\r\nEdit: you can set `J=2, shape = (32,32) and max_order=1`\r\n\r\nNB:\r\n- nvidia drivers 430.64\r\n- cuda 10.1\r\n- numpy 1.16.3 mkl"
Error while installing PyTorch,Take a look at https://github.com/pandas-dev/pandas/issues/23424#issuecomment-435612148\r\n\r\nYou may need to upgrade your command-line tools.
Build error with MSVC (aten\\src\\ATen\\native\\quantized\\Copy.cpp),"move the sentence \""float* src_data = src.data<float>();\"" into the function of \""AT_DISPATCH_QINT_TYPES ...\"" solves my problem. It looks like:\r\n\r\n AT_DISPATCH_QINT_TYPES(self.scalar_type(), \""Copy\"", [&]() {\r\n float* src_data = src.data<float>();\r\n\tscalar_t* self_data = self.data<scalar_t>();\r\n for (int i = 0; i < self.numel(); ++i) {\r\n self_data[i] = quantize_val<scalar_t>(\r\n self.q_scale().to<float>(),\r\n self.q_zero_point().to<int32_t>(),\r\n src_data[i]);\r\n }\r\n });\r\n\r\n Hope that will help you."
RuntimeError: ONNX export failed: Couldn't export operator aten::softmax,I just checked the nightly version! There it works fine! Thanks! :)
Inconsistent behavior between jit loaded model and the one to be saved,"@suo fyi it was labeled jit 9 days ago, but not triaged"
random behavior is not able to be controlled,???
MultiheadAttention is not scriptable,"Thanks for bringing up the issue and we have fixed it. We also added two JIT unit tests to cover the applications of torch.nn.MultiheadAttention module (i.e. ""test_torchscript_multi_head_attn"" and ""test_scriptmodule_multi_head_attn_cuda"" in test_jit.py). Those two could possibly be good examples for JIT scriptable."
Provide a way to implement an infinite / streaming collection as a Dataset,"`return HPARAMS.batch_size` looks pretty wrong. you would want some large value (as you mentioned, something like `1<<30`).\r\nThe DataLoader only pre-loads one batch ahead of time.\r\nWhat you are running into is probably that if the size is VERY large, we actually generate indices ahead of time to preserve determinism: https://github.com/pytorch/pytorch/blob/master/torch/utils/data/dataloader.py#L144-L148\r\n\r\nAlso, the DataLoader is not a one-stop solution for all situations, something like `joblib` might serve better here. @SsnL has a WIP PR for IterableDataset, which might also serve this better: https://github.com/pytorch/pytorch/pull/14705\r\n"
Building libtorch-dependent project with CMake,"I don't know the answer to this, but I suggest using new cmake 'targets' feature, more like\r\n\r\n```\r\nfind_package(Torch REQUIRED)\r\n\r\nadd_library(a)\r\ntarget_link_libraries(a PRIVATE Torch)\r\n```\r\ninstead of messing with TORCH_INCLUDE_DIRS and TORCH_LIBRARIES themselves."
Parameter not registering if .to(device) is used,"this is totally expected.\r\n\r\nParameters can only be leaf Tensors, not Tensors that are a result of an operation on another Tensor.\r\n\r\nWhat you want is:\r\n\r\n```\r\nself.par = torch.nn.Parameter(torch.rand(5, device='cuda'))\r\n```"
Windows CPU debug build fails at linking stage,"Hi,\r\nYes. With #17494 I can build without set BUILD_TEST=OFF\r\n\r\nThanks!"
Libtorch binaries compiled with flag _GLIBCXX_USE_CXX11_ABI = 1,???
Conda did not install cudnn for pytorch,"Hi,\r\neven if it's not listed explicitly with `conda list`, your installation should have cudnn. You can check if this is the case executing `torch.backends.cudnn.is_available()`."
Tensor unfold backward is slow,"This was fixed by gh-36612, closing."
Makefile:140: recipe for target 'all' failed,I still got the same issue. The build.log is here: https://gist.github.com/jzenn/a97fd71775d7e572899ef7987e329d5d
Unused argument causes error in JIT graph to ONNX conversion,Thank you @spandantiwari!
cuDNN error: CUDNN_STATUS_EXECUTION_FAILED when calling .cuda() on RNN layer,CUDA 9 and RTX 2080 Ti simply aren't compatible and dont play well togethere.\r\nAn older CuDNN version working is likely a side-effect rather than expectation.\r\nUse CUDA10 and CUDA10 versions of CuDNN etc. for RTX 2080 which is Turing architecture
PyTorch not releasing autograd buffers associated to tensors created with `.from_numpy()`,"Sorry I think I misunderstood your point above then, I though you were still seeing a problem even when .item() is used.
In that case it is (unfortunately) the expected behavior here.

It is easy to free any buffers encountered during the backward pass and raise a proper error if the user try to use them again.
But it is much harder to delete the graph structure itself while we're traversing it to compute the backward. Also the memory usage due to a single graph is small compared to the other objects in general and so should not be a problem (unless of course the graph keeps growing as in your case).

Another approach to solve this problem would be to use the `with torch.no_grad():` block (or the functions decorator equivalent) around any operations for which you won't need to compute backward. This way, it won't even build the graph and so will be faster and less memory hungry."
Is it possible to integrate jax into pytorch ?,"1.1, we already have with torch.jit\r\n1.2 seems interesting\r\n2. probably not relevant\r\n\r\n1.2 is tracked in https://github.com/pytorch/pytorch/issues/1642\r\n\r\nOverall, there isn't really the concept of \""jax in pytorch\"" or \""pytorch in jax\"" in the same sense that they're both frontends"
[jit] Support for modules that have hooks when compiling,Thank you @eellison ! :tada: :clap:
"ONNX exporter for slice operation isses onnx:Slice for dimensions that are not sliced, includiung batch dimension - which breaks TRT5","Looks like it's not an issue with latest TRT6 and parser, so we can close it."
Sharing/Transferring gradients from models across multiple GPU(s) in multiprocessing,"@subho406 seems to work fine for me (with 1.1.0 and the latest `examples` repo), just fyi"
Windows Debug Build Failure,Please apply this patch: https://github.com/pytorch/pytorch/pull/17201
Why torch wheel is so huge (582MB)?,"The number of GPU architectures targeted by the binary is a large contributor to binary size. If you'd like a smaller GPU binary, you can change TORCH_CUDA_ARCH_LIST accordingly. For example, if you want to only support compute 5.0 w/forward compatibility, you can set TORCH_CUDA_ARCH_LIST=5.0+PTX as opposed to the more comprehensive list built by default by the PyTorch devs.\r\n\r\n(I'm not a PyTorch developer, just someone who has built smaller versions of the library.)"
[DISCUSSION] Expose Future() in Python API,"I would vote for `torch.Future` if it is really a single class.\r\nIf it requires extra functions to work with it, then`torch.futures.*` sounds good.\r\n\r\nAlso do we have a unified stable API for these?"
"We should not mark non-floating point Tensors as requirering gradients, ever","Gradients are only defined for continuous functions. So if you have an `integer` type, gradients don't really make sense."
Pickling of _VariableFunctions no longer works in 1.5,If any newcomers come here and wonder how to fix this. Upgrading to 1.5.1 fixed the issue. Downgrading to 1.4.1 may too.\r\n\r\nThat is\r\n`conda install pytorch==1.5.1 torchvision==0.6.1 cudatoolkit=10.1 -c pytorch` if you use vision\r\n`conda install pytorch==1.5.1 cudatoolkit=10.1 -c pytorch` if you use NLP.\r\n\r\ndepending on your cuda version.
Defaulting to ninja build doesn't forward includes in PyTorch C++/CUDA extensions,include_dirs now supports both absolute and relative paths.
"Broken link from \""Contribution Guide\"" to \""Governance\""","Thanks for reporting, this looks like a bug. We'll accept a PR fixing it."
Empty GPU memory cache after Jupyter notebook interrupted,"jupyter notebook holds reference to the exception when interrupted (for things like %debug), which holds reference to the stack frames, which hold reference to the variables. so empty_cache won't work. this is not really a pytorch issue per se."
torch.utils.checkpoint.checkpoint + torch.cuda.amp fails,"Thanks for raising this issue!\r\nMy best guess is that `CheckpointFunction.backward` uses the stored mixed-precision tensors from its `forward`, but breaks the autocasting contract for the backward.\r\nIf you run `scaler.scale(loss).backward()` inside the `autocast` block, it should work for now as a workaround.\r\n\r\nCC @mcarilli"
"\""The specified procedure could not be found\"" importing `caffe2_detectron_ops_gpu.dll` via torch",@AsmaZbt The easiest solution is to patch `__init__.py` for PyTorch. Please use the modified version (for v1.5.0) [here](https://gist.github.com/peterjc123/bcbf4418ff63d88e11313d308cf1b427).
Windows 10 Libtorch installation issue.,"Okay. I resolved it myself. 👍 \r\nThe tutorial needs to add this line in CMakeLists.txt file\r\n``` set(CMAKE_PREFIX_PATH \""libtorch/share/cmake/Torch\"") ```\r\n\r\nwhich should point to where Torch is unzipped appropriately.\r\nPlease update the docs. This issue is quite prelevant\r\n"
torch.remainder gives a remainder larger than the divisor,"Thanks for the report!\r\n\r\nIt turns out that this problem is due to numerical precision issue when you subtract two larger numbers with only small difference, such as 100000000002 - 100000000001. Even the numpy single precision result of 1.024195 is not accurate (from c function `fmodf`). The accurate double precision result is 0.577396.\r\n\r\nThe current `torch.remainder` impl for both cpu and gpu have this problem, e.g. https://github.com/pytorch/pytorch/blob/253943d5a7bb90a420e4d94366101915823c7929/aten/src/ATen/native/cuda/BinaryArithmeticKernel.cu#L80-L85\r\n\r\nI also checked the `torch.fmod` impl which are correct for both cpu and gpu. You can temporarily use `torch.fmod` as a substitute for `torch.remainder`. I will provide a fix to `torch.remainder` soon, and let it use the native c/cuda function of `fmod`."
PyTorch 1.5 conda package disallows OpenBLAS,"@soumith \r\nThis makes the conda package unsuitable for AMD CPUs, as Intel MKL uses a slow code path for AMD processors. For broader hardware compatibility and to avoid vendor lock-in, OpenBLAS should be used instead."
torch.cdist [Cuda out of memory Tried to allocate 108GB of memory],"I'm closing it as after building my env from scratch it now works. (I was already on torch 1.5, so I can't directly point on the problem but ...)"
C++ API for Transformer model in libtorch 1.5.0,This is available since 1.7
RuntimeError: Error in dlopen or dlsym: libcaffe2_nvrtc.so: cannot open shared object file: No such file or directory ( torch_geometric/utils/loop.py),@AugF `LD_LIBRARY_PATH` should be `/home/xxx/anaconda3/envs/pyg/lib/python3.8/site-packages/torch/lib:${LD_LIBRARY_PATH}`.\r\nThere should be a `/lib` after `site-packages/torch/`
Programmatically Disambiguate When to Step `_LRScheduler`,"I do agree with explicit is better, and leaving the control in the hand of the users. Alright, let's go for a `steps_on` property that can be either \""batch\"" or \""epoch\"". If we need more later, we'd do \""batch_and_epoch\"". Thoughts?\r\n\r\nIf you like this, do you want to update #37770 for this?"
Better testing on CPUs without AVX capabilities,"In that case we can run cpp tests under qemu, which can be configured not to support any vecorized instructions."
[BatchNorm] Unexpected behaviour with track_running_stats,Closed by #38084
`torch.log10` with float32 produces different results on different CPU,"@mruberry \r\nYes, that makes sense. I wanted to leave a record of this finding and double check if there is something that we can work on.\r\n\r\nWhile filling out this issue I also found that `float64` produces consistent result, so we are going to use `float64` in torchaudio to resolve the issue we are having.\r\n\r\nThanks!"
torch.stack() gradient errors in 0.4.1,We will update and merge #9995
"Reuse the Variable with the same name with \""For loop\""","there is no problem with this loop, backward will be computed correctly and is independent of how you use `g_x_local`. In the future, post questions to https://discuss.pytorch.org"
DataLoader Multiprocessing Problems,???
The default value of parameter count_include_pad of torch.nn.Functional.avg_pool2d(),docs are updated now.
Falling to turn shape into Tensor,"Do\r\n```python\r\na = torch.ones(10, 10)\r\nb = torch.tensor(a.shape)\r\nprint(b)\r\n# tensor([10, 10])\r\n```\r\nAlso, questions like this are better suited for https://discuss.pytorch.org/"
Build fails in caffe2 git master with OpenCL ON,"I encountered the same issue...\r\nCurrently, have no solution."
