x,z,y
RuntimeError: value cannot be converted to type uint8_t without overflow: 10000,"yeah the tutorials needs to be updated. for now, you can try this:\r\n```\r\ncorrect += (predicted == labels).sum().item()\r\n```",You can use this:\r\n```\r\ncorrect += (predicted == labels).sum().item()\r\n```
CUDNN_STATUS_NOT_INITIALIZED when built from source,After these updates:\r\n- Nvidia driver: 384.81-> 387.26 \r\n- CUDA: V9.0.176 -> V9.1.85\r\n- CuDNN: 7005 -> 7102\r\n\r\nThe installation completes without error. Thanks!,"You need to install the latest versions of Nvidia driver, CUDA, and CuDNN"
I cannot initialize Tensor. (They will become torch.autograd.variable.Variable),See https://github.com/pytorch/pytorch/pull/5225,This issue has been fixed.
[feature request] Add underscore to nn.init functions,"That makes sense, but we need to keep backward compatibility, so we need the non-`_` aliases too.",Non-underscore functions have been retained for backward compatibility. 
How can I access the model's attribution created during forward pass when using dataparallel?,"Returning what you want from the top-level forward function should defiantly work. You could do this pretty easily with an additional wrapper. As such:\r\n\r\n```python\r\n\r\nclass NormalModel(nn.Module):\r\n pass\r\n\r\nclass ExtraOutputWrapper(nn.Module):\r\n def __init__(self, *args, **kw):\r\n self.wrapped = NormalModel(*args, **kw)\r\n\r\n def forward(self, input):\r\n normal_output = self.wrapped(input)\r\n extra_output = self.wrapped.layer_of_interest.property\r\n return normal_output, extra_output\r\n```\r\n\r\nThen wrap `ExtraOutputWrapper` with `DataParallel` and it will return the property of interest. This seems fairly clean to me. Is there an issue with this?","You can use the following code:\r\n\r\n```python\r\n\r\nclass NormalModel(nn.Module):\r\n pass\r\n\r\nclass ExtraOutputWrapper(nn.Module):\r\n def __init__(self, *args, **kw):\r\n self.wrapped = NormalModel(*args, **kw)\r\n\r\n def forward(self, input):\r\n normal_output = self.wrapped(input)\r\n extra_output = self.wrapped.layer_of_interest.property\r\n return normal_output, extra_output\r\n```\r\n\r\nThen wrap `ExtraOutputWrapper` with `DataParallel` and it will return the property of interest."
Linking Error: relocation R_X86_64_32 against `cpuinfo_x86_linux_init' can not be used when making a shared object,The most recent version of cpuinfo should fix this. We have to update the submodule.,Install the latest version of cpuinfo to fix this.
fatal error: torch/torch.h: No such file or directory,"Right now you have to `build install` pytorch for that header to be installed correctly. There's three options:\r\n1. Merge https://github.com/pytorch/pytorch/pull/5772 which fixes this and looks ready anyway,\r\n2. `python setup.py build install`\r\n3. `python run_test.py --exclude cpp_extensions`\r\n\r\n(1) is probably best","There are three options:\r\n1. Merge https://github.com/pytorch/pytorch/pull/5772 which fixes this and looks ready anyway,\r\n2. `python setup.py build install`\r\n3. `python run_test.py --exclude cpp_extensions`\r\n\r\n(1) is probably best"
pytorch installation error on macOS 10.13.3,^ resolved by reinstalling tbb,This error can be resolved by reinstalling TBB.
Pretrained Model Loading Error,"If you were to load the file using pickle alone, I'd suggest trying to load it using `encoding='latin1'` for example.\r\n```python\r\nwith open(myfile, 'rb') as f:\r\n data = pickle.load(f, encoding='latin1')\r\n```\r\nThis has solved issues for me when deserializing some pickle files saved on python2 and loaded on python3. But to make it work out-of-the-box on `torch.load` might require extending the API.",Add the `encoding=latin1` argument to `pickle.load`
Bazel - Pybind - Pytorch - Undefined Symbol,Resolved. Turns out you need to add 'linkshared=True' and compile it as a binary,You need to add 'linkshared=True' and compile it as a binary
"TypeError: __init__() should return None, not 'int' in validation Dataset","Closing, as this does not look like a bug in PyTorch, but rather a mis-use of  Python data model.\r\nFor example, following code raises the same runtime error:\r\n```\r\nclass Bar:\r\n    def __init__(self, bar):\r\n        self.bar = bar\r\n        return bar\r\n\r\nif __name__ == \""__main__\"":\r\n    x = Bar(5)\r\n```\r\n```\r\n% python3 bar.py\r\nTraceback (most recent call last):\r\n  File \""bar.py\"", line 7, in <module>\r\n    x = Bar(5)\r\nTypeError: __init__() should return None, not 'int'\r\n```\r\nPlease do not hesitate to comment/update an example, if you believe that PyTorch behavior is incorrect in this case.",This is an expected behavior.
torch.linalg.cholesky fails for some PSD matrices,"Thanks for your response. Makes total sense - the context of the problem is trying to add a small amount of (tikhonov) regularization to make cholesky stable so aware of the stability problem just my fix was mixing precisions as you say. With double precision numpy==pytorch. Feel free to close.

",Using double precision will not give any errors.
Scribe stats reporting is broken in GHA due to secrets access from fork PRs,Verified that scribe proxy is working now,This issue has been fixed.
HTTP Error 403 for torch.hub ResNet,"As a workaround, can you please adding the following line before making any \""torch.hub\"" calls:\r\n```\r\ntorch.hub._validate_not_a_forked_repo=lambda a,b,c: True\r\n```","Please add the following line before making any \""torch.hub\"" calls:\r\n```\r\ntorch.hub._validate_not_a_forked_repo=lambda a,b,c: True\r\n```"
torch.permute missing in docs,"This has been fixed in master.\r\n\r\nThat being said, the docs are not well formatted, so I'll fix that.",This issue has been fixed.
"Conv2d triggers assertion in mkl-dnn when padding=(n, 3)","@sakaia , I verify that MKLDNN v0.21.1 can solve this problem, we have upgrade mkldnn to 0.21.1, you can test it your side by pip install --pre torch torchvision -f https://download.pytorch.org/whl/nightly/cpu/torch_nightly.html or build the pytorch source code according to README.md. Thanks!",Installing MKLDNN v0.21.1 can fix this issue.
PyTorch is not using the GPU specified by CUDA_VISIBLE_DEVICES,More comment:\r\n\r\nUsing the following command instead\r\n`CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=3 python test.py`\r\nwould fix the problem.\r\n\r\nBut I am not sure if this is the expected behavior...,Use the following command \r\n`CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=3 python test.py`
Allow parallel sending to device in DataLoader,"No the push occurs inside the transform. It would be possible to design a custom collate_fn but that would be inefficient. The whole point of doing this is because pushing to GPU is so time consuming. Therefore, the best way is to send to GPU in a data transform.",The best way is to send to GPU in a data transform.
distributed all_reduce deadlocks in v1.1,"Pytorch 1.1 uses nccl 2.4.2 which has a known issue of hanging with long running jobs that was fixed for 2.4.6. https://github.com/NVIDIA/nccl/commit/f40ce73e8987d2990e4b9ef6c75f4b3423acce78\r\nWorkaround is to export NCCL_LL_THRESHOLD=0. \r\ncc @pietern, @mrshenli to bump nccl submodule.",Installing nccl 2.4.6 can fix this issue.
Build error with MSVC (aten\\src\\ATen\\native\\quantized\\Copy.cpp),"move the sentence \""float* src_data = src.data<float>();\"" into the function of \""AT_DISPATCH_QINT_TYPES ...\"" solves my problem. It looks like:\r\n\r\n AT_DISPATCH_QINT_TYPES(self.scalar_type(), \""Copy\"", [&]() {\r\n float* src_data = src.data<float>();\r\n\tscalar_t* self_data = self.data<scalar_t>();\r\n for (int i = 0; i < self.numel(); ++i) {\r\n self_data[i] = quantize_val<scalar_t>(\r\n self.q_scale().to<float>(),\r\n self.q_zero_point().to<int32_t>(),\r\n src_data[i]);\r\n }\r\n });\r\n\r\n Hope that will help you.","Moving the sentence \""float* src_data = src.data<float>();\"" into the function of \""AT_DISPATCH_QINT_TYPES ...\"" can solve this problem."
RuntimeError: ONNX export failed: Couldn't export operator aten::softmax,I just checked the nightly version! There it works fine! Thanks! :),This works fine for the nightly version.
MultiheadAttention is not scriptable,"Thanks for bringing up the issue and we have fixed it. We also added two JIT unit tests to cover the applications of torch.nn.MultiheadAttention module (i.e. ""test_torchscript_multi_head_attn"" and ""test_scriptmodule_multi_head_attn_cuda"" in test_jit.py). Those two could possibly be good examples for JIT scriptable.",This issue has been fixed.
Building libtorch-dependent project with CMake,"I don't know the answer to this, but I suggest using new cmake 'targets' feature, more like\r\n\r\n```\r\nfind_package(Torch REQUIRED)\r\n\r\nadd_library(a)\r\ntarget_link_libraries(a PRIVATE Torch)\r\n```\r\ninstead of messing with TORCH_INCLUDE_DIRS and TORCH_LIBRARIES themselves.","You can use new cmake 'targets' feature, e.g.\r\n\r\n```\r\nfind_package(Torch REQUIRED)\r\n\r\nadd_library(a)\r\ntarget_link_libraries(a PRIVATE Torch)\r\n```"
Parameter not registering if .to(device) is used,"this is totally expected.\r\n\r\nParameters can only be leaf Tensors, not Tensors that are a result of an operation on another Tensor.\r\n\r\nWhat you want is:\r\n\r\n```\r\nself.par = torch.nn.Parameter(torch.rand(5, device='cuda'))\r\n```","You need to use:\r\n\r\n```\r\nself.par = torch.nn.Parameter(torch.rand(5, device='cuda'))\r\n```"
Windows CPU debug build fails at linking stage,"Hi,\r\nYes. With #17494 I can build without set BUILD_TEST=OFF\r\n\r\nThanks!",Build will succeed without setting BUILD_TEST=OFF\r\n\
Conda did not install cudnn for pytorch,"Hi,\r\neven if it's not listed explicitly with `conda list`, your installation should have cudnn. You can check if this is the case executing `torch.backends.cudnn.is_available()`.","Even if it's not listed explicitly with `conda list`, your installation should have cudnn. You can check if this is the case executing `torch.backends.cudnn.is_available()`."
Tensor unfold backward is slow,"This was fixed by gh-36612, closing.",This issue has been fixed.
cuDNN error: CUDNN_STATUS_EXECUTION_FAILED when calling .cuda() on RNN layer,CUDA 9 and RTX 2080 Ti simply aren't compatible and dont play well togethere.\r\nAn older CuDNN version working is likely a side-effect rather than expectation.\r\nUse CUDA10 and CUDA10 versions of CuDNN etc. for RTX 2080 which is Turing architecture,Use the latest versions of CUDA10 and CuDNN
PyTorch not releasing autograd buffers associated to tensors created with `.from_numpy()`,"Sorry I think I misunderstood your point above then, I though you were still seeing a problem even when .item() is used.
In that case it is (unfortunately) the expected behavior here.

It is easy to free any buffers encountered during the backward pass and raise a proper error if the user try to use them again.
But it is much harder to delete the graph structure itself while we're traversing it to compute the backward. Also the memory usage due to a single graph is small compared to the other objects in general and so should not be a problem (unless of course the graph keeps growing as in your case).

Another approach to solve this problem would be to use the `with torch.no_grad():` block (or the functions decorator equivalent) around any operations for which you won't need to compute backward. This way, it won't even build the graph and so will be faster and less memory hungry.",Enclose operations that do not require the backward computations within the  `with torch.no_grad():` block
Is it possible to integrate jax into pytorch ?,"1.1, we already have with torch.jit\r\n1.2 seems interesting\r\n2. probably not relevant\r\n\r\n1.2 is tracked in https://github.com/pytorch/pytorch/issues/1642\r\n\r\nOverall, there isn't really the concept of \""jax in pytorch\"" or \""pytorch in jax\"" in the same sense that they're both frontends",Jax and PyTorch are both frontends and cannot be integrated.
"ONNX exporter for slice operation isses onnx:Slice for dimensions that are not sliced, includiung batch dimension - which breaks TRT5","Looks like it's not an issue with latest TRT6 and parser, so we can close it.",This issue has been fixed.
Sharing/Transferring gradients from models across multiple GPU(s) in multiprocessing,"@subho406 seems to work fine for me (with 1.1.0 and the latest `examples` repo), just fyi",This issue has been fixed.
Why torch wheel is so huge (582MB)?,"The number of GPU architectures targeted by the binary is a large contributor to binary size. If you'd like a smaller GPU binary, you can change TORCH_CUDA_ARCH_LIST accordingly. For example, if you want to only support compute 5.0 w/forward compatibility, you can set TORCH_CUDA_ARCH_LIST=5.0+PTX as opposed to the more comprehensive list built by default by the PyTorch devs.\r\n\r\n(I'm not a PyTorch developer, just someone who has built smaller versions of the library.)",You can specify the GPU architectures during installation to reduce the size.
"We should not mark non-floating point Tensors as requirering gradients, ever","Gradients are only defined for continuous functions. So if you have an `integer` type, gradients don't really make sense.","Gradients are only defined for continuous functions. So if you have an `integer` type, gradients don't really make sense."
Pickling of _VariableFunctions no longer works in 1.5,If any newcomers come here and wonder how to fix this. Upgrading to 1.5.1 fixed the issue. Downgrading to 1.4.1 may too.\r\n\r\nThat is\r\n`conda install pytorch==1.5.1 torchvision==0.6.1 cudatoolkit=10.1 -c pytorch` if you use vision\r\n`conda install pytorch==1.5.1 cudatoolkit=10.1 -c pytorch` if you use NLP.\r\n\r\ndepending on your cuda version.,Installing the latest version of PyTorch can fix the issue.
Defaulting to ninja build doesn't forward includes in PyTorch C++/CUDA extensions,include_dirs now supports both absolute and relative paths.,include_dirs now supports both absolute and relative paths.
Empty GPU memory cache after Jupyter notebook interrupted,"jupyter notebook holds reference to the exception when interrupted (for things like %debug), which holds reference to the stack frames, which hold reference to the variables. so empty_cache won't work. this is not really a pytorch issue per se.",This issue is not related to PyTorch.
torch.utils.checkpoint.checkpoint + torch.cuda.amp fails,"Thanks for raising this issue!\r\nMy best guess is that `CheckpointFunction.backward` uses the stored mixed-precision tensors from its `forward`, but breaks the autocasting contract for the backward.\r\nIf you run `scaler.scale(loss).backward()` inside the `autocast` block, it should work for now as a workaround.\r\n\r\nCC @mcarilli","Running `scaler.scale(loss).backward()` inside the `autocast` block, should work"
Windows 10 Libtorch installation issue.,"Okay. I resolved it myself. 👍 \r\nThe tutorial needs to add this line in CMakeLists.txt file\r\n``` set(CMAKE_PREFIX_PATH \""libtorch/share/cmake/Torch\"") ```\r\n\r\nwhich should point to where Torch is unzipped appropriately.\r\nPlease update the docs. This issue is quite prelevant\r\n","You need to add this line in CMakeLists.txt file\r\n``` set(CMAKE_PREFIX_PATH \""libtorch/share/cmake/Torch\"") ```"
torch.remainder gives a remainder larger than the divisor,"Thanks for the report!\r\n\r\nIt turns out that this problem is due to numerical precision issue when you subtract two larger numbers with only small difference, such as 100000000002 - 100000000001. Even the numpy single precision result of 1.024195 is not accurate (from c function `fmodf`). The accurate double precision result is 0.577396.\r\n\r\nThe current `torch.remainder` impl for both cpu and gpu have this problem, e.g. https://github.com/pytorch/pytorch/blob/253943d5a7bb90a420e4d94366101915823c7929/aten/src/ATen/native/cuda/BinaryArithmeticKernel.cu#L80-L85\r\n\r\nI also checked the `torch.fmod` impl which are correct for both cpu and gpu. You can temporarily use `torch.fmod` as a substitute for `torch.remainder`. I will provide a fix to `torch.remainder` soon, and let it use the native c/cuda function of `fmod`.",This is due to numerical precision issues. Please use `torch.fmod` instead of `torch.remainder`
torch.cdist [Cuda out of memory Tried to allocate 108GB of memory],"I'm closing it as after building my env from scratch it now works. (I was already on torch 1.5, so I can't directly point on the problem but ...)",Building environment from scracth will fix the issue.
C++ API for Transformer model in libtorch 1.5.0,This is available since 1.7,This is available in the recent versions of PyTorch.
RuntimeError: Error in dlopen or dlsym: libcaffe2_nvrtc.so: cannot open shared object file: No such file or directory ( torch_geometric/utils/loop.py),@AugF `LD_LIBRARY_PATH` should be `/home/xxx/anaconda3/envs/pyg/lib/python3.8/site-packages/torch/lib:${LD_LIBRARY_PATH}`.\r\nThere should be a `/lib` after `site-packages/torch/`,`LD_LIBRARY_PATH` should be `/home/xxx/anaconda3/envs/pyg/lib/python3.8/site-packages/torch/lib:${LD_LIBRARY_PATH}`.
Better testing on CPUs without AVX capabilities,"In that case we can run cpp tests under qemu, which can be configured not to support any vecorized instructions.",You can use a machine emulator such as QEMU.
[BatchNorm] Unexpected behaviour with track_running_stats,Closed by #38084,This issue has been fixed.
`torch.log10` with float32 produces different results on different CPU,"@mruberry \r\nYes, that makes sense. I wanted to leave a record of this finding and double check if there is something that we can work on.\r\n\r\nWhile filling out this issue I also found that `float64` produces consistent result, so we are going to use `float64` in torchaudio to resolve the issue we are having.\r\n\r\nThanks!",Using `float64` can resolve this issue.
Falling to turn shape into Tensor,"Do\r\n```python\r\na = torch.ones(10, 10)\r\nb = torch.tensor(a.shape)\r\nprint(b)\r\n# tensor([10, 10])\r\n```\r\nAlso, questions like this are better suited for https://discuss.pytorch.org/","This can be done via \r\n```python\r\na = torch.ones(10, 10)\r\nb = torch.tensor(a.shape)\r\nprint(b)\r\n# tensor([10, 10])\r\n```"
[pytorch] [feature request] Entropy function,you can calculate this via `distributions.Categorical(probs=p).entropy()`?,This can ve calculated via `distributions.Categorical(probs=p).entropy()`
mse_loss reduction='none' is ignored when required_grads is True,"Many thanks @li-roy, with 1.0.0.dev20181018 it works smoothly.",This issue has been fixed.
3x regression in JIT LSTM speeds,Yes the slowdown was due to memory leak,This issue arises because of memory leaks
windows pytorch 0.4.1 error=48 : no kernel image is available for execution on the device,"The new binaries are updated for Windows.\r\n\r\nIf you have previously installed via anaconda, you have to do:\r\n\r\n```\r\nconda uninstall -y pytorch\r\nconda clean -t -y\r\n```\r\n\r\nand then reinstall pytorch.\r\n\r\n\r\nIf you have installed via `pip` command on https://pytorch.org, first uninstall pytorch via `pip uninstall torch` and then rerun that command (so that the new wheel is downloaded and installed)",You need to uninstall and reinstall PyTorch.
Quadro m2000m not able to get pytorch working with gpu,"The new binaries are updated for Windows.\r\n\r\nIf you have previously installed via anaconda, you have to do:\r\n\r\n```\r\nconda uninstall -y pytorch\r\nconda clean -t -y\r\n```\r\n\r\nand then reinstall pytorch.\r\n\r\n\r\nIf you have installed via `pip` command on https://pytorch.org, first uninstall pytorch via `pip uninstall torch` and then rerun that command (so that the new wheel is downloaded and installed)",You need to uninstall and reinstall PyTorch.
"Wrong Warning \""compiler (c++) may be ABI-incompatible with PyTorch!\""","@johnmarkwayve no, the warning is only raised if you're using a binary build of Pytorch, i.e. from pip. It's never raised if you compile from source.",The error is not encountered if compiled from source.
[Performance Issue] Inference time increases on CPU the more you train the model on a TitanX.,"Yes @vadimkantorov , that was the solution!!
I enabled ""set_flush_denorm"" in case of CPU and now different checkpoints have the same inference time. Many thanks!",Inference time is the same if `set_flush_denorm` is used with CPU. 
CreateNet(train_net) cannot find blob created by the RunNetOnce(init_net) in Caffe2 (C++),"I just found out that it works, if I add \""filter\"" as external input for the \""train_net\"" like so:\r\n\r\n train_net.add_external_input (\""filter\"");\r\n\r\nbefore executing CreateNet(train_net).",Adding `filter` as external input for the model works.
MSELoss wrongly sums instead of averages when reduction='elementwise_mean',"Yes but it’s fixed on master and will be included in the next release.\n\nOn Wed, Sep 19, 2018 at 03:52 simama <notifications@github.com> wrote:\n\n> I am on 0.4.1 version and it seems this bug is still not fixed.\n>\n> —\n> You are receiving this because you were mentioned.\n> Reply to this email directly, view it on GitHub\n> <https://github.com/pytorch/pytorch/issues/10148#issuecomment-422696370>,\n> or mute the thread\n> <https://github.com/notifications/unsubscribe-auth/AFaWZfuFXXaUvgqzfKfZO7_kPUMt0gsQks5ucfe-gaJpZM4VrZIT>\n> .\n>\n",This issue has been fixed.
Backward engine computes unnecessary dependencies,Fixed in #752.,This issue has been fixed.
F.relu(inplace) followed by F.dropout(inplace) breaks backward pass,"Yeah, that is expected. You can't apply in-place operations to leaf Variables. Just remove the `inplace` flag and it should be good.",Removing the `inplace` flag should make it work.
"torch.range is upper-bound inclusive, while python range and numpy arange are upper-bound exclusive",I think we should make a `torch.arange` that is equivalent to `numpy.arange` and depreceate `torch.range` properly. It is used quite extensively all over the place.\r\nwdyt @colesbury @apaszke ?,`torch.range` needs to be deprecated
LSTM forget gate bias initialization,"Yes, the ordering of weights a biases is the same for all implementations and is `ingate, forgetgate, cellgate, outgate`. You need to initialize the values between 1/4 and 1/2 of the bias vector to the desired value.","The ordering of weights a biases is the same for all implementations and is `ingate, forgetgate, cellgate, outgate`. You need to initialize the values between 1/4 and 1/2 of the bias vector to the desired value."
Error while saving my network,this is a syntax error. `torch.save` does not have the order of arguments as you've used.,Using the correct arguments will not give this error.
Build fails on Ubuntu 14.04 + conda latest,CUDA Version 8.0.27 has this issue. it is a pre-release version. The stable CUDA8 version is 8.0.44,Installing the latest stable release fixes the issue.
view() after transpose() raises non contiguous error,"Yes, this is expected, as `view` is only supposed to work on contiguous tensors, and transposing a tensor makes it non-contiguous. You can use `.contiguous()` after `transpose` to fix your issue","This is expected, as `view` is only supposed to work on contiguous tensors, and transposing a tensor makes it non-contiguous. You can use `.contiguous()` after `transpose` to fix your issue"
Errors import torch installed form source on macOS,Run python from a different directory than the repository root.,You need to open torch in any directory other than repo's root
Add support for variable length sequences in cuDNN RNNs,@glample CUDNN already supports variable length sequences through a packed-array API; PyTorch just doesn't currently use that functionality,CUDNN already supports variable length sequences through a packed-array API; PyTorch just doesn't currently use that functionality
Maxout Layer,"For ones who need Maxout, I changed the above code to make it work. \r\n\r\n\r\n```python\r\nclass Maxout(nn.Module):\r\n\r\n def __init__(self, d_in, d_out, pool_size):\r\n super().__init__()\r\n self.d_in, self.d_out, self.pool_size = d_in, d_out, pool_size\r\n self.lin = nn.Linear(d_in, d_out * pool_size)\r\n\r\n\r\n def forward(self, inputs):\r\n shape = list(inputs.size())\r\n shape[-1] = self.d_out\r\n shape.append(self.pool_size)\r\n max_dim = len(shape) - 1\r\n out = self.lin(inputs)\r\n m, i = out.view(*shape).max(max_dim)\r\n return m\r\n```\r\n","The Maxout layer can be implemented as follows \r\n\r\n\r\n```python\r\nclass Maxout(nn.Module):\r\n\r\n def __init__(self, d_in, d_out, pool_size):\r\n super().__init__()\r\n self.d_in, self.d_out, self.pool_size = d_in, d_out, pool_size\r\n self.lin = nn.Linear(d_in, d_out * pool_size)\r\n\r\n\r\n def forward(self, inputs):\r\n shape = list(inputs.size())\r\n shape[-1] = self.d_out\r\n shape.append(self.pool_size)\r\n max_dim = len(shape) - 1\r\n out = self.lin(inputs)\r\n m, i = out.view(*shape).max(max_dim)\r\n return m\r\n```\r\n"
Unefined reference to C10::Error::Error when linking against libTorch,"I think you're missing `\""-D_GLIBCXX_USE_CXX11_ABI=0\""` in your build flags. We provide this in our TorchConfig.cmake, which is why we recommend cmake as the easiest way to build LibTorch. That said, you can add that to your QtCreator config. See https://github.com/pytorch/pytorch/blob/master/cmake/TorchConfig.cmake.in for the relevant file\r\n\r\nPlease let me know if that fixes the issue.",You need to use the build flags `QMAKE_CXXFLAGS += -D_GLIBCXX_USE_CXX11_ABI=0`
can't convert CUDA tensor to numpy. Use Tensor.cpu() to copy the tensor to host memory first.,"`.numpy()` shares memory with the input CPU tensor, so `cuda_t.cpu().numpy()` is different with `cpu_t.numpy()` and we want to explicitly ask users to convert to CPU tensor.","`.numpy()` shares memory with the input CPU tensor, so `cuda_t.cpu().numpy()` is different with `cpu_t.numpy()` and we want to explicitly ask users to convert to CPU tensor."
GPU Memery leak,i find a solution yesterday\r\n\r\nbatch_y_predlabel has to be **detach** so the GPU memory can be free.\r\n\r\nI don't know if it's normal that a GPU tensor transfer to the CPU in the compute graph still take GPU memory?\r\nfor gradient compute I imagine?,"To free up GPU memory, you need to detach the predictions."
[Build error] libnccl.so: error adding symbols: File in wrong format,"it's very likely that you installed x64 libnccl, instead of ppc64 version",You need to install the correct version for your platform
Can cuda10 use pytorch-0.4.1?,no,"Not, it cannot."
cosine_similarity function produces results more than 1.0,"Probably better to re-order the computations to improve numerical precision. Might want to look at SciPy:\r\n\r\nhttps://github.com/scipy/scipy/blob/453932337f4a67170e4e7fda3f808b273a787a41/scipy/spatial/distance.py#L717-L721\r\n\r\nI think the issue is that we're doing:\r\n\r\n```\r\nx / (sqrt(x) * sqrt(x)) # bad\r\n```\r\n\r\nvs.\r\n\r\n```\r\nx / sqrt(x * x) # good\r\n```\r\n\r\nI don't know enough about floating point arithmetic to argue why the second is more accurate, but it seems to be. (You can look at the min/max over a large random tensor)",This error can be fixed by reordering the computations to improve numerical precisions.
Is mkl-dnn enabled in the latest binary distribution v1.0.1?,Yes.,Yes.
nn.LSTM gives nondeterministic results with dropout and multiple layers,Closed and fixed in cudnn_7.6.1 @ngimel,This issue has been fixed.
Add support for mixture models in torch.distributions,"`MixtureSameFamily` should be easy to implement. We don't use this in Pyro since we usually keep the mixture component id as an explicit variable and enumerate over that variable:\r\n```py\r\ncomponent = pyro.sample(\""component\"", dist.Categorical(probs),\r\n                        infer={\""enumerate\"": \""parallel\""})\r\nassert component.reshape(-1).shape == probs.shape[-1:]\r\nvalue = pyro.sample(\""mixture\"", MyDistribution(my_params[component]))\r\n```\r\ncc @martinjankowiak","`MixtureSameFamily` can be implemented as:\r\n```py\r\ncomponent = pyro.sample(\""component\"", dist.Categorical(probs),\r\n                        infer={\""enumerate\"": \""parallel\""})\r\nassert component.reshape(-1).shape == probs.shape[-1:]\r\nvalue = pyro.sample(\""mixture\"", MyDistribution(my_params[component]))\r\n```"
IndexError while trying to save torchscript,"Closing this since I can't reproduce and we fixed some similar errors recently, but feel free to re-open if you're still getting this error",This issue has been fixed.
[JIT] b->inputs().size() == b->outputs().size() ASSERT FAILED,Closing as this has been fixed (the repro in the initial post now works as intended),This issue has been fixed.
[CPU] several inplace functions fail since 1.0.1 on certain hw,I can reproduce this with OMP_NUM_THREADS=2. I haven't seen it with OMP_NUM_THREADS=1.,Setting `OMP_NUM_THREADS=1` will not raise an error.
module' object has no attribute '_dl',"it's not a problem of spacy, it looks like an incomplete or corrupt pytorch install.\r\n\r\nTry:\r\n\r\n```\r\npip uninstall torch\r\npip uninstall torch\r\npip uninstall torch\r\npip install torch\r\n```",You need to uninstall and reinstall PyTorch.
IndyLSTM & IndyGRU in PyTorch,"it's not widely used enough yet, to be pushed into core (feel free to reopen once it becomes more of a standard).\r\n\r\nAdditionally, we are working on a user handwritten RNNs being fast, rather than adding more fundamental multi-layer RNNs into core.\r\nSo, I'm closing the feature request.",This feature will not be implemented.
Multi-GPU RuntimeError: Expected tensor for argument #1 'input' to have the same device as tensor for argument #2 'weight',your input is on gpu 1 but your net work is on gpu 0.,Model and data need to be on the same GPU.
CUDA unavailable when pytorch 1.3.0. installed with cudatoolkit 10.1,"I got the same issue with Pytorch 1.3.1 + CUDA 10.0. Finally, I got it resolved with:\r\n```\r\npip install torch==1.3.1+cu100 torchvision==0.4.2+cu100 -f https://download.pytorch.org/whl/torch_stable.html\r\n```",You need to downgrade your version of CUDA.
error executing torch_shm_manager in cifar10_tutorial.py,"Experienced the same issue on OSX. Setting `num_workers=0` on the DataLoaders solved it, even though the tutorial only recommends it for Windows.\r\nIt should probably be better clarified/fixed though.",Setting `num_workers=0` will not raise an error.
"\""module has no attribute 'downsample'\"" when scripting torchvision's resnet",I believe you need to use a nightly version of torchvision (and thus a nightly version of PyTorch) for resnet to be scriptable.,You need to install the latest version of PyTorch.
"Failed to load model on mobile for device type \""c10::DeviceType::CUDA\""",@ljk53 sorry late response. \r\nI confirmed the model converted to cpu() is able to load on the phone.,You need to move the model to `.cpu()`
Didn't find kernel to dispatch to for operator 'quantized::conv2d',"Hi @thiyagu145, the error message you've encountered says that you're trying to run the quantized Conv2d operator, but you're passing in an unquantized tensor.

Please take a look for where we use QuantStub in the tutorial and workflow documentation. Once this is present and the values are passed through them, the issue should be solved",Passing a quantized vector to the operator will not raise an error.
"Why t.arange(0,3) create an int type Tensor?","torch.arange returns an int64 tensor by defaut. It mimics numpy behavior. if you want different dtype, give dtype as argument, such as `t.arange(0, 3, dtype=torch.float32)`",You need to specify the datatype as an argument.
Loading opencv image to pytorch tensor,"I found it at https://pytorch.org/cppdocs/api/classat_1_1_tensor.html#exhale-class-classat-1-1-tensor.\r\nHere is a demo:\r\n```C++\r\n tensor_image = tensor_image.permute({0, 3, 1, 2});\r\n```",The order of dimensions is different in OpenCV and PyTorch.
Bug in transferring model from pytorch --> caffe2,"I modified the tutorial and removed the `pixel_shuffle` part and composed the network only with ReLU and conv layers (just to see if `pytorch` and `caffe2` give the same output), and **now it works fine**.\r\n\r\nSince `pixel_shuffle` is only on the master branch, I assume that it's still buggy?\r\nAnyway, I'll just test if all the layers I personally need output the same thing between the two frameworks and proceed.",Remove the `pixel_shuffle` part and composed the network only with ReLU and conv layers will not give an error.
Using net.cuda crashes the kernel,"If you look into the list of types in the `got (...)` part, you'll find a mix of CPU and CUDA tensors, with `input` and `output` being on CPU, while `weight` and `bias` is on the GPU.\r\n\r\nYou probably forgot to send the input to the GPU. Alternatively, keep in mind that `.cuda()` is an out of place operation i.e.\r\n```python\r\ninput.cuda()\r\nmodel(Variable(input))\r\n```\r\nwill fail. You need to overwrite the reference with a new CUDA tensor:\r\n```python\r\ninput = input.cuda()\r\nmodel(Variable(input))\r\n```",You need to overwrite the reference with a new CUDA tensor:\r\n```python\r\ninput = input.cuda()\r\nmodel(Variable(input))\r\n```
